lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.2978759,-75.5812935,REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2015-12-10 @ 17:10:52;,19525,EMS: BACK PAINS/INJURY,12/10/2015 17:10,NEW HANOVER,REINDEER CT & DEAD END,1
40.2580614,-75.2646799,BRIAR PATH & WHITEMARSH LN;  HATFIELD TOWNSHIP; Station 345; 2015-12-10 @ 17:29:21;,19446,EMS: DIABETIC EMERGENCY,12/10/2015 17:29,HATFIELD TOWNSHIP,BRIAR PATH & WHITEMARSH LN,1
40.1211818,-75.3519752,HAWS AVE; NORRISTOWN; 2015-12-10 @ 14:39:21-Station:STA27;,19401,Fire: GAS-ODOR/LEAK,12/10/2015 14:39,NORRISTOWN,HAWS AVE,1
40.116153,-75.343513,AIRY ST & SWEDE ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 16:47:36;,19401,EMS: CARDIAC EMERGENCY,12/10/2015 16:47,NORRISTOWN,AIRY ST & SWEDE ST,1
40.251492,-75.6033497,CHERRYWOOD CT & DEAD END;  LOWER POTTSGROVE; Station 329; 2015-12-10 @ 16:56:52;,,EMS: DIZZINESS,12/10/2015 16:56,LOWER POTTSGROVE,CHERRYWOOD CT & DEAD END,1
40.2534732,-75.283245,CANNON AVE & W 9TH ST;  LANSDALE; Station 345; 2015-12-10 @ 15:39:04;,19446,EMS: HEAD INJURY,12/10/2015 15:39,LANSDALE,CANNON AVE & W 9TH ST,1
40.1821111,-75.1277951,LAUREL AVE & OAKDALE AVE;  HORSHAM; Station 352; 2015-12-10 @ 16:46:48;,19044,EMS: NAUSEA/VOMITING,12/10/2015 16:46,HORSHAM,LAUREL AVE & OAKDALE AVE,1
40.2172859,-75.405182,COLLEGEVILLE RD & LYWISKI RD;  SKIPPACK; Station 336; 2015-12-10 @ 16:17:05;,19426,EMS: RESPIRATORY EMERGENCY,12/10/2015 16:17,SKIPPACK,COLLEGEVILLE RD & LYWISKI RD,1
40.2890267,-75.3995896,MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-10 @ 16:51:42;,19438,EMS: SYNCOPAL EPISODE,12/10/2015 16:51,LOWER SALFORD,MAIN ST & OLD SUMNEYTOWN PIKE,1
40.1023985,-75.2914577,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD; PLYMOUTH; 2015-12-10 @ 17:35:41;,19462,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:35,PLYMOUTH,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD,1
40.2319898,-75.2518915,RT202 PKWY & KNAPP RD; MONTGOMERY; 2015-12-10 @ 17:33:50;,,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:33,MONTGOMERY,RT202 PKWY & KNAPP RD,1
40.0841613,-75.3083857,BROOK RD & COLWELL LN; PLYMOUTH; 2015-12-10 @ 16:32:10;,19428,Traffic: VEHICLE ACCIDENT -,12/10/2015 16:32,PLYMOUTH,BROOK RD & COLWELL LN,1
40.1741312,-75.0984907,BYBERRY AVE & S WARMINSTER RD; UPPER MORELAND; 2015-12-10 @ 17:15:49;,19040,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:15,UPPER MORELAND,BYBERRY AVE & S WARMINSTER RD,1
40.062974,-75.135914,OLD YORK RD & VALLEY RD; CHELTENHAM; 2015-12-10 @ 17:12:47;,19027,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:12,CHELTENHAM,OLD YORK RD & VALLEY RD,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & CROTON RD UNDERPASS; UPPER MERION; 2015-12-10 @ 17:09:49;,,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:09,UPPER MERION,SCHUYLKILL EXPY & CROTON RD UNDERPASS,1
40.2237777,-75.2353993,STUMP RD & WITCHWOOD DR; MONTGOMERY; 2015-12-10 @ 17:31:00;,18936,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:31,MONTGOMERY,STUMP RD & WITCHWOOD DR,1
40.2432578,-75.2865516,SUSQUEHANNA AVE & W MAIN ST;  LANSDALE; Station 345B; 2015-12-10 @ 17:42:44;,19446,EMS: RESPIRATORY EMERGENCY,12/10/2015 17:42,LANSDALE,SUSQUEHANNA AVE & W MAIN ST,1
40.3121807,-75.5742598,CHARLOTTE ST & MILES RD;  NEW HANOVER; Station 332; 2015-12-10 @ 17:41:54;,19525,EMS: DIZZINESS,12/10/2015 17:41,NEW HANOVER,CHARLOTTE ST & MILES RD,1
40.114239,-75.338508,PENN ST & ARCH ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 17:43:29;,19401,EMS: VEHICLE ACCIDENT,12/10/2015 17:43,NORRISTOWN,PENN ST & ARCH ST,1
40.2093369,-75.1352655,COUNTY LINE RD & WILLOW DR; HORSHAM; 2015-12-10 @ 17:45:23;,18974,Traffic: DISABLED VEHICLE -,12/10/2015 17:45,HORSHAM,COUNTY LINE RD & WILLOW DR,1
40.114239,-75.338508,PENN ST & ARCH ST; NORRISTOWN; 2015-12-10 @ 17:43:45;,19401,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:43,NORRISTOWN,PENN ST & ARCH ST,1
40.1179476,-75.2098476,CHURCH RD & REDCOAT DR; WHITEMARSH; 2015-12-10 @ 17:53:22;,19031,Traffic: DISABLED VEHICLE -,12/10/2015 17:53,WHITEMARSH,CHURCH RD & REDCOAT DR,1
40.1990064,-75.3000584,LILAC CT & PRIMROSE DR; UPPER GWYNEDD; 2015-12-10 @ 17:59:24-Station:STA80;,19446,Fire: APPLIANCE FIRE,12/10/2015 17:59,UPPER GWYNEDD,LILAC CT & PRIMROSE DR,1
40.1433257,-75.422819,RT422  & PAWLINGS RD OVERPASS; LOWER PROVIDENCE; 2015-12-10 @ 18:00:38;,,Traffic: DISABLED VEHICLE -,12/10/2015 18:00,LOWER PROVIDENCE,RT422  & PAWLINGS RD OVERPASS,1
40.1532684,-75.1895576,SUMMIT AVE & RT309 UNDERPASS; UPPER DUBLIN; 2015-12-10 @ 17:58:22;,,Traffic: VEHICLE ACCIDENT -,12/10/2015 17:58,UPPER DUBLIN,SUMMIT AVE & RT309 UNDERPASS,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-10 @ 18:02:02;,19403,EMS: GENERAL WEAKNESS,12/10/2015 18:02,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,1
40.1552833,-75.2642296,PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; Station 385; 2015-12-10 @ 18:02:38;,19422,EMS: HEAD INJURY,12/10/2015 18:02,WHITPAIN,PENLLYN BLUE BELL PIKE & VILLAGE CIR,1
40.0289031,-75.3518224,EDENTON PL & DURHAM DR; DELAWARE COUNTY; 2015-12-10 @ 18:05:19-Station:STA23;,19085,Fire: CARBON MONOXIDE DETECTOR,12/10/2015 18:05,DELAWARE COUNTY,EDENTON PL & DURHAM DR,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & WEADLEY RD OVERPASS; UPPER MERION; 2015-12-10 @ 18:05:39;,,Traffic: VEHICLE ACCIDENT -,12/10/2015 18:05,UPPER MERION,SCHUYLKILL EXPY & WEADLEY RD OVERPASS,1
40.2093369,-75.1352655,COUNTY LINE RD & WILLOW DR; HORSHAM; 2015-12-10 @ 18:10:40;,18974,Traffic: DISABLED VEHICLE -,12/10/2015 18:10,HORSHAM,COUNTY LINE RD & WILLOW DR,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & WEADLEY RD OVERPASS; UPPER MERION; 2015-12-10 @ 18:07:01;,,Traffic: VEHICLE ACCIDENT -,12/10/2015 18:07,UPPER MERION,SCHUYLKILL EXPY & WEADLEY RD OVERPASS,1
40.300736,-75.3319733,CORNWALL TER & LIONS GATE CIR;  FRANCONIA; Station 339; 2015-12-10 @ 18:09:49;,18964,EMS: RESPIRATORY EMERGENCY,12/10/2015 18:09,FRANCONIA,CORNWALL TER & LIONS GATE CIR,1
40.129398,-75.3322134,PINE ST & W ROBERTS ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 18:17:07;,19401,EMS: UNKNOWN MEDICAL EMERGENCY,12/10/2015 18:17,NORRISTOWN,PINE ST & W ROBERTS ST,1
40.0993621,-75.1500348,E GLENSIDE AVE & S KESWICK AVE; CHELTENHAM; 2015-12-10 @ 18:21:43;,19038,Traffic: VEHICLE ACCIDENT -,12/10/2015 18:21,CHELTENHAM,E GLENSIDE AVE & S KESWICK AVE,1
40.2212266,-75.2887369,MORRIS RD & MUHLENBURG DR; UPPER GWYNEDD; 2015-12-10 @ 18:23:13;,,Traffic: DISABLED VEHICLE -,12/10/2015 18:23,UPPER GWYNEDD,MORRIS RD & MUHLENBURG DR,1
